"关键词列表（逗号分隔）","语言","回复内容"
"價格,价錢,收費,費用,多少錢,價位,算錢,清洗費,價目表,這件多少,這個價格,鞋子費用,洗鞋錢,要多少,怎麼算,窗簾費用","zh-TW","可以參考我們的服務價目表或由客服跟您回覆📋"
"价格,价钱,收费,费用,多少钱,价位,算钱,清洗费,价目表,这件多少,这个价格,鞋子费用,洗鞋钱,要多少,怎么算,窗帘费用","zh-CN","可以参考我们的服务价目表或由客服跟您回复📋"
"price,prices,cost,how much,price list,pricing,quotation,quote,cleaning fee,how much for,what's the price","en","Please refer to our price list or our customer service will reply to you. 📋"
"価格,値段,料金,費用,いくら,料金表,値段は,おいくら","ja","料金表をご確認いただくか、カスタマーサービスまでお問い合わせくださいませ📋"
"가격,가격표,요금,비용,얼마예요,얼마,가격문의","ko","가격표를 참고하시거나 고객센터로 문의해 주십시오📋"
"營業時間,營業,開門時間,開門,幾點開門,營業到幾點,開到幾點,今天營業,今天開門","zh-TW","今日有營業的💖我們的營業時間為 10:30 - 20:00，除週六固定公休喔！😊"
"营业时间,营业,开门时间,开门,几點开门,营业到几点,开到几点,今天营业,今天开门","zh-CN","今日有营业的💖我们的营业时间为 10:30 - 20:00，除周六固定公休喔！😊"
"business hours,opening hours,open time,are you open,open today,what time do you open,營業時間","en","We are open today! 💖 Our business hours are 10:30 AM - 8:00 PM, except for Saturdays when we are closed. 😊"
"営業時間,営業,開店時間,開店,何時開店,何時まで営業,今日営業,今日開店","ja","本日は営業しております💖営業時間は10:30～20:00です。土曜日は定休日です😊"
"영업시간,영업,영업 중,몇 시 오픈,오늘 영업,오늘 하나요,여는 시간,문 여는 시간","ko","오늘 영업합니다! 💖 영업 시간은 오전 10시 30분부터 오후 8시까지이며, 토요일은 정기 휴무입니다. 😊"
"急件,加急,快一點,趕時間,來得及嗎,幾天,多久,急單","zh-TW","不好意思，清潔需要一定的工作日，請與客服確認時間喔 ⏳"
"急件,加急,快一点,赶时间,来得及吗,几天,多久,急单","zh-CN","不好意思，清洁需要一定的工作日，请与客服确认时间喔 ⏳"
"urgent,rush order,rush service,how soon,quickly,fast,urgent order","en","Sorry, urgent orders may not be possible as cleaning requires processing time. Please check with customer service for availability. ⏳"
"急ぎ,特急,早めに,早く,間に合いますか,何日,いつまでに,急ぎの注文","ja","申し訳ございません、お急ぎのご依頼ですと対応できない場合がございます。クリーニングには作業日数がかかりますので、カスタマーサービスにご確認ください⏳"
"긴급,급하게,빨리,서둘러,빨리 돼요?,며칠 걸려요?,얼마나 걸려요?,급한 주문","ko","죄송합니다, 급한 주문은 어려울 수 있습니다. 세탁에는 작업 시간이 필요하므로 고객 센터에 가능 여부를 문의해 주세요 ⏳"
"如何付款,儲值,付費,付款,支付,給錢,收款,收錢,怎麼付款,付錢方式,付款方式,支付方式","zh-TW","我們提供現金💵、銀行轉帳🏦、線上Line Pay📱、信用卡💳等多種付款方式。"
"如何付款,储值,付费,付款,支付,给钱,收款,收钱,怎么付款,付钱方式,付款方式,支付方式","zh-CN","我们提供现金💵、银行转账🏦、线上Line Pay📱、信用卡💳等多种付款方式。"
"how to pay,payment methods,payment options,how to make payment,pay,fees,billing,payment","en","We accept various payment methods including cash 💵, bank transfer 🏦, online payment (Line Pay 📱), and credit card 💳."
"支払い方法,支払い,支払うには,料金,支払い方は,どうやって払う,支払方法,決済方法","ja","現金💵、銀行振込🏦、オンライン決済（Line Pay📱）、クレジットカード💳など、各種お支払い方法をご利用いただけます。"
"결제 방법,결제,지불,요금,어떻게 결제해요?,결제 수단,결제 방식,페이","ko","현금💵, 계좌 이체🏦, 온라인 결제 (Line Pay📱), 신용 카드💳 등 다양한 결제 수단을 이용하실 수 있습니다."
"收送,到府收送,外送,收衣服,送衣服,來收,到府,上門收,上門,到府服務","zh-TW","我們有免費到府收送服務📦，可以 LINE 或官網預約喔！🚚 江翠北芳鄰一件就可以免費收送，板橋、新莊、三重、中和、永和滿三件或 500 元，放置管理室跟我們說就可以了！👕"
"收送,到府收送,外送,收衣服,送衣服,来收,到府,上门收,上门,到府服务","zh-CN","我们有免费到府收送服务📦，可以 LINE 或官网预约喔！🚚 江翠北芳邻一件就可以免费收送，板桥、新庄、三重、中和、永和满三件或 500 元，放置管理室跟我们说就可以了！👕"
"pickup,delivery,pick-up,deliver,collect,drop off,home pickup,delivery service","en","We offer free pick-up and delivery service! 📦 You can make a reservation via LINE or our official website! 🚚 Free pick-up and delivery for Jiangcui North Neighborhood for one item, and for Banqiao, Xinzhuang, Sanchong, Zhonghe, and Yonghe, it's free for 3 items or $500. Just leave it at the management office and let us know! 👕"
"集荷,配達,集配,宅配,取りに来て,お届け,出張集荷,配送サービス","ja","無料の集荷・配達サービスがございます📦LINEまたは公式サイトからご予約ください！🚚 江翠北芳鄰は1点から無料集配、板橋、新莊、三重、中和、永和は3点または500元以上で無料です。管理人室に置いていただければ結構です！👕"
